GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
restfuldemo,cn.edu.xmu.javaee.restfuldemo.service,GoodsService,0,436,1,3,0,123,1,9,0,8
restfuldemo,cn.edu.xmu.javaee.restfuldemo.model,Specification,109,17,22,0,0,3,15,5,4,5
restfuldemo,cn.edu.xmu.javaee.restfuldemo.model,Product,377,50,78,0,0,10,47,15,8,15
restfuldemo,cn.edu.xmu.javaee.restfuldemo.model,Goods,561,81,118,0,0,15,68,24,9,24
restfuldemo,cn.edu.xmu.javaee.restfuldemo.model,SpecItem,109,17,22,0,0,3,15,5,4,5
restfuldemo,cn.edu.xmu.javaee.restfuldemo.config,CorsConfig,0,51,0,0,0,7,0,2,0,2
restfuldemo,cn.edu.xmu.javaee.restfuldemo,DemoApplication,5,3,0,0,2,1,1,1,1,1
restfuldemo,cn.edu.xmu.javaee.restfuldemo.controller,GoodsController,0,46,0,0,0,12,0,6,0,6
restfuldemo,cn.edu.xmu.javaee.restfuldemo.controller,CodeValidGoodsController,0,47,0,2,0,13,0,3,0,2
restfuldemo,cn.edu.xmu.javaee.restfuldemo.controller,ControllerExceptionHandler,0,61,0,2,0,13,0,3,0,2
restfuldemo,cn.edu.xmu.javaee.restfuldemo.controller,BindingResultGoodsController,0,46,0,2,0,13,0,3,0,2
restfuldemo,cn.edu.xmu.javaee.restfuldemo.controller.vo,ProductVo,217,60,46,0,0,12,27,12,4,12
restfuldemo,cn.edu.xmu.javaee.restfuldemo.controller.vo,GoodsVo,289,82,62,0,0,16,35,16,4,16
restfuldemo,cn.edu.xmu.javaee.restfuldemo.util,JacksonUtil.new TypeReference() {...},3,0,0,0,1,0,1,0,1,0
restfuldemo,cn.edu.xmu.javaee.restfuldemo.util,JacksonUtil.new TypeReference() {...},3,0,0,0,1,0,1,0,1,0
restfuldemo,cn.edu.xmu.javaee.restfuldemo.util,JacksonUtil.new TypeReference() {...},3,0,0,0,1,0,1,0,1,0
restfuldemo,cn.edu.xmu.javaee.restfuldemo.util,JacksonUtil.new TypeReference() {...},3,0,0,0,1,0,1,0,1,0
restfuldemo,cn.edu.xmu.javaee.restfuldemo.util,ResponseUtil,20,37,0,0,5,9,2,2,2,2
restfuldemo,cn.edu.xmu.javaee.restfuldemo.util,ReturnObject,149,30,30,0,0,4,20,6,5,6
restfuldemo,cn.edu.xmu.javaee.restfuldemo.util,JacksonUtil,416,0,18,0,112,0,23,0,14,0
restfuldemo,cn.edu.xmu.javaee.restfuldemo.util,ResponseCode,3,4,0,0,1,1,1,1,1,1
